Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Educational iPad Applications,Mobile App Development,"$10,000 to $49,999",None,"Y Media Labs created two educational iPad apps to help children with reading, writing, and geography skills.",None,"Founder, Educational Mobile App Firm",Education,2-10 Employees,"Sioux Falls, South Dakota",
Mobile App Dev for Mobile Virtual Network Operator,Mobile App Development,Confidential,Oct. 2015 - Ongoing,"DMI designed the UI/UX of a messaging app. Assigned resources conducted market research, critiqued the prototype, and workedon the MVP. The team continues to add new features to the app. ",Masih Ahmed,"Head of Mobile, Lycamobile",Telecommunications,"501-1,000 Employees","London, United Kingdom",
Big Data Analytics for L Brands ( Victoria's Secret ),BI & Analytics,"$50,000 to $199,999",None,DMI collaborated on a Shipping Analytics Project to solve major shipping logistics issues. The team provided data anlysis services and offered long-term data-based solutions.,Adam Smith,"Marketing Manager, L Brands",Retail,"10,000+ Employees","Columbus, Ohio",
Enterprise Data Management for Insurance Company,Development,"$200,000 to $999,999",None,"DMI provided external portal expertise for the redevelopment of an entire portal. After completing the project, the team was retained on a master service agreement.",None,"Data Management Lead, Insurance Company",Financial Services,"10,000+ Employees","Chicago, Illinois",
Database Development for Payments Processing Firm ,Development,"$200,000 to $999,999",2012 - Ongoing,DMI conducted a data analysis to build a variety of tools and reporting capabilities for improved product pricing. The team now provides automation support and various data services.,None,"SVP of Product, Payments Processing Firm",IT Services,1001-5000 Employees,"Cincinnati, Ohio",
Branding Campaign for Data Analytics Company,Branding,"$200,000 to $999,999",None,DMI completed a full re-branding of a specific IT-based product to attract new consumers and retain its existing customer base.,None,"Marketing Manager, Data Analytics Company",IT Services,1001-5000 Employees,Washington DC Metro Area,
User Experience and Development for Hotel Application,Mobile App Development,"$50,000 to $199,999",Oct. 2014 - Ongoing,DMI was initially contracted to develop a mobile app. The team provided full-spectrum services and some usability research. They continue to provide expertise for workflow processes and mobile development.,None,"User Experience Lead, Large Hotel Group",Hospitality,"10,001+ Employees",Maryland,
Market and Brand Strategy for Internet Company,Market Research,"$200,000 to $999,999",2013 - Ongoing,DMI augments an in-house research and development team for various projects. They provide support for marketing and re-branding strategies as well as consultation for new business ideas and product innovation.,None,"President of Membership, Internet Company",IT Services,1001-5000 Employees,New York City Metro Area,
Strategic Marketing for Financial Services Company,Branding,"$1,000,000 - $9,999,999",2014 - Ongoing,DMI built and executed a strategic marketing plan to enhance customer experience. The team is helping to shape a CRM marketing approach and build a more robust digital campaign.,None,"Marketing Manager, Financial Services Company",Financial Services,"5001 - 10,000 Employees",Washington DC,
Stock Ticker Application Development for Software Developer,Development,"$200,000 to $999,999",None,"DMI developed a website and a dual-platform mobile app. They are also currently working on product plans for the Apple Watch, widget technology, and additional features.",Brad Simpson,"Owner, Vection Technologies",IT Services,1-10 Employees,"Los Angeles, California",
Custom iPad Application Development for Media Company,Mobile App Development,Confidential,None,"DMI collaborated on a custom iPad application that allows users to read, connect, and follow news stories in an engaging way.",Drue Hontz,"Founder, Track180",IT Services,1-10 Employees,New York City Metro Area,
Mobile App Dev for Supply Chain Industry Staffing Agency,Mobile App Development,"$1,000,000 - $9,999,999",2016 - Ongoing,ArcTouch just released the first version of an enterprise-level staffing and communication app used by temporary employees. They continue to develop custom features to enhance its functionality.,Chris Loope,"Chief Digital Officer, EmployBridge",Staffing & Recruiting,"501-1,000 Employees","Atlanta, Georgia",
UI/UX Design for Content Discovery Startup,UI/UX Design,"$50,000 to $199,999",July 2017 - Ongoing,ArcTouch produced artwork and design elements for an online content discovery platform and accompanying iOS app. Their market-conscious suggestions shaped the final product.,None,"Senior Project Manager, Discovery Engine Platform",Internet,1-10 Employees,"San Francisco, California",
iPad App Dev for Medical Testing Field Tool,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,ArcTouch ported Motorola software to iOS from start to finish and continues to make enhancements. ArcTouch also consulted on the UI of the application.,None,"CIO, Medical Information-Gathering Company",Healthcare,11-50 Employees,"Los Angeles, California",
iOS Mobile App Dev for Private Jet Service,Mobile App Development,Confidential,Nov. 2015 - July 2017,"Although a prior version existed, ArcTouch developed an iPhone app from scratch, integrating features previously available only online or over the phone. The team managed design, dev, API, web services, etc.",Jonathan Levey,"Senior Digital Marketing Manager, Flexjet",Aviation & Aerospace,"501-1,000 Employees","Cleveland, Ohio",
UI Mobile App Design for Cyber Security Platform,UI/UX Design,"$50,000 to $199,999",Jan. 2017 - Mar. 2017,"Based on provided branding and product objectives, ArcTouch designed a UI-focused app to convince customers of their digital security by showing them what their cyber security product was doing in real time.",Joe Levy,"Chief Revenue Officer, Rubica, Inc.",Consumer Services,11-50 Employees,"Seattle, Washington",
App Development for International Relations Nonprofit,Development,"$10,000 to $49,999",None,"ArcTouch provided an affordable, easy-to-use application platform for the client, a nonprofit organization with a very tight budget.",Natasha Beale,"IT Development Specialist, Equal Access",Non-profit,200-500 employees,United States,
App Development for Pilates Startup,Development,"$200,000 to $999,999",None,"ArcTouch provided comprehensive app development services, from projections and strategy to end design and engineering, with the goal of balancing visual appeal with technical compliance.",Joseph Quinn,"CEO, Pilates Metrics","Health, Wellness, and Fitness",1-10 Employees,"San Francisco, CA",
Custom App Development for Global Retailer,Development,Confidential,None,"ArcTouch designed an app for both the Android and iOS platforms that was unique, incorporating new features that the client wanted, and could easily connect with the clients ecommerce system.",None,"Senior Director, Global Retailer",Retail,1001-5000 Employees,Los Angeles Metro Area,
App Development for Online Media Company,Development,"$200,000 to $999,999",None,"ArcTouch developed an app for both the Android and iOS platforms, to more effectively reach the clients pre-existing mobile audience.",David Wood,"CTO, Jun Group",Internet,51-200 Employees,New York Metro Area,
App Development for Sports Franchise,Mobile App Development,"$50,000 to $199,999",None,ArcTouch built an app to meet the high expectations of the clients customer base. The client was new to app development and needed guidance to produce an app that was both user-friendly and secure.,None,"Business Intelligence Analyst, Sports Franchise",Media,11-50 Employees,San Francisco Bay Area,
Enterprise Dev for Fortune 500 Healthcare Company,Custom Software Development,Confidential,2010 - Ongoing,Exadel regularly improvesanopen sourceIdentity & Access Management solution developed earlier in the engagement. The project team remains focused on system architecture and strategic road mapping.,None,Former Chief Security Architect,Healthcare & Medicine,"10,000+ Employees","San Francisco, California",
Web Dev for Information Services Company,Web Development,"$10,000,000+",July 2007 - Ongoing,"Exadel provides full-stack platform development in collaboration with other vendors, deploying Java-based technology to create complex product components and assessing bugs to improve code quality.",None,"Director of Software Dev, Information Services Company",Information Services,"10,000+ Employees",Netherlands,
Industrial Safety App for Computer Software Firm,Mobile App Development,"$1,000,000 - $9,999,999",May 2015 - Mar. 2016,Exadel developed iOS and Android applications that allowed users in the gas and oil industry to report technology issues for professional review. They handled UI/UX design and quality assurance.,Scott Brothers,"Vice President, Sospes",Computer Software,11-50 Employees,"Denver, Colorado",
Microsoft Stack Development for Education Nonprofit,Development,"$200,000 to $999,999",None,"Following a large grant win, Exadel designed and developed a complex Microsoft Stack platform to help users manage volunteer programs. They later migrated data to the new system.",None,"Director of Program Growth and Innovation, Education Nonprofit",Non-profit,51-200 Employees,"Jacksonville, Florida",
.NET Marketplace Development for Online Retail Startup,E-commerce Development,"$200,000 to $999,999",2014 - Ongoing,Exadel developed a custom .NET solution for an ecommerce platform that connects buyers and sellers. They built beta and alpha versions using cloud architecture.,None,"Founder & CEO, Online Retailer",Retail,1-10 Employees,"Boulder, Colorado",
Custom Development for Broadcast Media Company,Custom Software Development,Confidential,None,"Following several successful projects, Exadels role expanded to include Microsoft stack and mobile application development, database configuration, and site optimization.",None,"Chief Technology Officer, Media Broadcast Company",IT Services,51-200 Employees,"Denver, Colorado",
Custom Development for Boutique IT Solutions Firm,Custom Software Development,"$200,000 to $999,999",2012 - Ongoing,Exadel provided additional development resources to help manage the workload for a technology provider in the trucking industry. The relationship remains ongoing.,None,"Chief Technology Officer, 10-4 Systems",IT Services,11-50 Employees,"Denver, Colorado",
Custom Development and API Integration for Driving School,Custom Software Development,"$200,000 to $999,999",None,Exadel builta custom dashboard and user interface to better scale upcoming franchise opportunities. They also migrated existing users to a newoperating system that adhered to state requirements.,None,"Digital Experience Director, Driver's Education School",Education,11-50 Employees,"Houston, Texas",
Alexa Skill Dev for Television Entertainment Network,IoT Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,"Rocket Insights built an Alexa Skills Kit (ASK), from wireframes to the final product. Voice command features include information on scheduling, subscriptions, and a help menu.",None,"Manager, Content, Television Network",Entertainment,201-500 Employees,"Los Angeles, California",
Dev Projects for Video Hosting & Publishing Platform,Development,"$1,000,000 - $9,999,999",Aug. 2015 - Ongoing,"Rocket Insights augments in-house staff for small and large development projects. Full-range services include UX design, project management, and strategy.",None,"Former VP Global Services, Software Company",Online Media,"501-1,000 Employees","Boston, Massachusetts",
IoT Dev for Amazon Echo,IoT Development,Confidential,Mar. - Aug. 2017,Rocket Insights planned and executed the development of a skill for the Amazon Echo to promote an upcoming streaming show.,None,"Executive Director, Marketing, Video Streaming Network",Internet,11-50 Employees,"Los Angeles, California",
Mobile App Development for Video Production Company,Mobile App Development,"$10,000 to $49,999",June - July 2017,"Rocket Insights designed and built an app for a new type of mobile device.They provided icons andtemplates, embedded videos in the app, and developed a user guide for its features.",Brett Wittenberg,"Production Manager, Humongous Media, Inc.",Media Production,1-10 Employees,"Boston, Massachusetts",
Website Development for Healthy Lifestyles Brand,Development,"$10,000 to $49,999",None,Rocket Insights developed a mobile responsive website and provided the UX design for a product built to store a large quantity of photo and image content.,None,"Marketing Manager, Lifestyles Company",Health & Wellness,"5001-10,000 Employees","New York, New York",
Long-term Development Partnership for Design Studio,Development,"$10,000 to $49,999",None,"The client has had a longstanding partnership with Rocket Insights, bringing them in on many occasions to support the development side of their design contracts.",Jeremy Merle,Craft Co.,Design,1-10 Employees,"Boston, Massachussetts",
UI/UX Design for Interactive Consumer Product,UI/UX Design,"$10,000 to $49,999",None,"This client's design needs surpassed the capabilities of their in-house team, Rocket Insights provided UI design, product mapping, and layouts.",Ed Tekieian,"CTO, Kuvee",Information Technology ,11-50 Employees,"Boston, Massachussetts",
App Development for Virtual Gaming Company,Development,"$10,000 to $49,999",None,The client looked to Rocket Insights to deliever an iOS application that would connect with their sensor products used to create a virtual gaming system.,Brian Monnin,"Cofounder, Play Impossible",Information Technology ,1-10 Employees,"Seattle, Washington",
Design and Development for Video Delivery Platform,Development,"$200,000 to $999,999",None,Rocket Insights was brought in to augment the client's development team in addition to taking lead on the Frontend UI/UX design of the video platform product.,Neal Weinman,"Engineering Director, Brightcove",Information Technology ,501 - 1001 Employees,"Boston, Massachussetts",
App Development for Online Catering Platform,Development,"$50,000 to $199,999",None,"Under an aggressive timeline, Rocket Insights was brought in to augment the client's mobile team and deliver an iOS application of their online marketplace.",Jason Squatrito,"Development Manager, ezCater",Information Technology ,51-200 Employees,"Boston, Massachussetts",
iOs & Android Dev for Smart Collar ,Mobile App Development,"$200,000 to $999,999",Aug. 2016 - Ongoing,"AndPlus produced backend systems as well as Androidand iOS apps for a tech accessory. The software is a hybrid of smart home and wearable technology, with a hierarchy of location states.",None,"CMO, PetTech Company",Consumer Electronics,11-50 Employees,New York Metro Area,
Safety App Dev for Multimedia Sports Entertainment Company ,Web Development,"$1,000,000 - $9,999,999",Jan. 2013 - Ongoing,AndPlus builtan app to manage an infrared sensor feature in a large fire control system. The app monitors alarms at a remote location and sends desktop notifications to local response teams.,None,"IT Manager, Sports Media Group",Broadcast Media,"10,000+ Employees",New York City Metro Area,
Web Development for Online Design Company,Web Development,"$200,000 to $999,999",2012 - Ongoing,AndPlus built acustom HTML5 platform allowing customers to upload files and design products, they also built an internalsystem to manage employee workflowand continueto provide development services.,None,"President, Digital Printing Company",Printing,1-10 Employees,"Farwell, Minnesota "
Android Mobile App Dev for Data Logger Solutions Company,Mobile App Development,"$1,000,000 - $9,999,999",2014 - Ongoing,"AndPlus has developed several Android apps to accompany iOS apps, which interact with a set of Bluetooth Low Energy products for a new line of data loggers. They have also worked on cloud integration.",Erich Roth,"Director of Software Engineering, Onset Computer",Electronic Manufacturing,51-200 Employees,"Bourne, Massachusetts",
Web App Dev for Data Management Analytics Company,Web Development,"$1,000,000 - $9,999,999",2014 - Ongoing,"AndPlus complemented an in-house engineering team to develop a data inventory and data mapping application. They participated in weekly, in-depth meetings and provided real-time QA resources.",David Cutler,"Senior Product Manager, Bloomberg LP",Financial Services,"10,001+ Employees","New York, New York",
Web App Tool Development for Packaging Company,Development,"$10,000 to $49,999",Feb. 2017 - Ongoing,AndPlus created a package tracking tool for heat and time sensitive products. The team integrated complex algorithms and weather forecast software to provide a full-service solution.,TJ Rizzo,"SVP Global Commercial Operations, Cold Chain Technologies",Packaging & Containers,51-200 Employees,Boston Metro Area,
iOS Mobile App Dev for Sales Tool,Mobile App Development,"$50,000 to $199,999",Jan. 2016 - Ongoing,"AndPlus augments internal teams to enhance an existing iOS app used internally as a sales tool. They assist in development, UX, project management, as well as help train the young, in-house development team.",None,"Global Web Marketing Manager, Machine Vision Technology Company",Industrial Automation,"1,001-5,000 Employees","Boston, Massachusetts",
Metadata Manager Tool for Publishing Company,Web Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,AndPlus helped build and test the user interface of an app that lets users publish scholarly articles. An engineer from AndPlus continues to assist in the final stages of development.,None,"Director of Product Management, Crossref",Publishing,51-200 Employees,"Boston, Massachusetts",
Custom App Development for Audiovisual Production Agency,Development,"$50,000 to $199,999",June 2015 - Ongoing,"AndPlus designed and implemented an internal communications system in multiple phases, beginning with a simple messaging and time tracking system then adding estimators and other efficiency tools.",Mark Casey,"Director of Marketing and Communications, Centrifuge Media",Media Production,11-50 Employees,"Durham, North Carolina",
Drupal Development for Logistics & Supply Chain Firm,Web Development,"$50,000 to $199,999",None,AndPlus integrated the Drupal CMS and other APIs into this e-commerce-focused online platform in order to allow the client's marketing team to edit web-based content.,None,"CTO, Ecommerce Shipping Platform",Supply Chain,11-50 Employees,"Boston, Massachussetts",
Web Portal Development for Psychology Consulting Platform,Web Development,"$50,000 to $199,999",Sept. 2016 - June 2017,"Iflexion developed a consulting platform for desktop, using the beta version as the starting point and including mobile optimization, top-notch encryption, HTML design updates, and more.",Daniel Bosch,"Founding Director, mentavio.com","Health, Wellness, & Fitness",1-10 Employees,"Berlin, Germany",
Product Redevelopment for Events Software Company,Custom Software Development,"$200,000 to $999,999",Oct. 2015 - Ongoing,Iflexionredeveloped an event management solution [SaaS] based on a detailed framework and preliminary designs. Support and feature addition now preoccupy the assigned project team.,Paul Schnell,"Founder, Version Two",Computer Software,1-10 Employees,"London, United Kingdom",
Product UI Design for Consumer Electronics Startup,UI/UX Design,"$10,000 to $49,999",July 2016 - Jan. 2017,Iflexion designed the UI of amobile appmeant to help users suffering from a hearing disorder/deficiency. The dev team then designed the UI of another existing mobile app.,Aernout Arends,"Founder, Absolute Audio Labs",Consumer Electronics,1-10 Employees,"Utrecht, Netherlands",
Resource Engagement for Financial Technology Company,Development,"$200,000 to $999,999",None,"Iflexion developed a custom online payment solution that allowed users to view balances and formalize transactions. They also built a mobile app, a payroll system, and the supporting CRM.",Christer Andersson,"Head of Business Development, Prego International, Ltd.",Financial Services,11-50 Employees,"London, United Kingdom",
Custom ECommerce Development for Online Retailer,E-commerce Development,Confidential,None,"Iflexion completed a partially built website after a previous vendor failed to deliver. Their main goals were user-friendliness, customization, and speed.",Cosimo Luzzi,"Founder & CEO, Lorenzo Borghese",Retail,1-10 Employees,"London, United Kingdom",
Mobile Development for Consumer App Startup,Mobile App Development,Confidential,None,"Iflexion developed aweb-based mobile application, miminicking the native app experience andcombiningsocial network features with online gaming and dating.",Michael Soni,"Founder & CEO, Eyecandy",Consumer Products,1-10 Employees,United States,
Feature Development for Social Network Startup,Web Development,"$50,000 to $199,999",None,"Iflexion helped to implement website features for a social event network. They built two mobile apps and organized music streaming, iframe integration, andmobile optimization.",Dennis Manyagi,"Founder & CEO, Densea Life",Media & Entertainment,1-10 Employees,"Los Angeles, California",
Long Term Resource Engagement for Technology Firm,Custom Software Development,"$200,000 to $999,999",2006 - Ongoing,"Iflexion helped the client with various medical software projects. Their activeresources included project managers, business analysts, UI/UX designers, and QA specialists.",None,"Chief Information Officer, Technology Firm",Information Technology,1-10 Employees,"Tampa, Florida",
Website Salvage for Events Planning and Management Firm,Web design,"Less than $10,000",None,"Using PHP and CSS,Iflexion developed a website that helps customers easily locate party planning resources. They later provided updates and implemented a responsive design.",None,"Founder & CEO, Events Planning and Management Firm","Arts, Entertainment & Music",1-11 Employees,"Los Angeles, California",
Blended Team Augmentation for FPX,Custom Software Development,"$200,000 to $999,999",None,Iflexion supported the development of a custom cloud-based data management solution. Their role laterexpanded to include quality assurance testing and product development.,Christopher Lord,"Chief Technology Officer, FPX",Computer Software,51-200 Employees,"Minneapolis, Minnesota",
App & Web Development for Consumer Discount Platform,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,Appinventiv built a prototype of an online discount platform and will handle its further feature development once more funding comes through.,None,"Owner, Consumer Discount Platform",Consumer Goods,1-10 Employees,"London, United Kingdom",
Android App Development for Electronics Manufacturer,Mobile App Development,"$10,000 to $49,999",Feb. 2018  Ongoing,Appinventiv created an Android application for an electronics manufacturers product. The product allows users to control their smartphones functions with hand gestures to make driving safer.,None,"CEO, Electronics Manufacturer",Electrical/Electronic Manufacturing,1-10 Employees,"Grenoble, France",
Native iOS & Android Scheduling Apps,Mobile App Development,"$10,000 to $49,999",Oct. 2017 - May 2018,"Appinventiv developed a native app for iOS and Android, incorporating custom features that allow users to access pricing and scheduling information in real time.",Kevin Lewis,"Owner, Property Forensix",Home Services,1-10 Employees,"Dallas, Texas",
iOS App Development for Political Polling Platform,Mobile App Development,"$10,000 to $49,999",Nov. 2017 - Apr. 2018,Appinventiv assisted the initial iOS release of a political app. They created an admin hub to send surveys and to manage users and data. They provided PHP development and front- and backend data management.,Brad Farley,"Founder, Kano Politics",Government,1-10 Employees,"Lexington, Kentucky",
Android App Dev & Admin Panel for In-Real-Life Gaming,Mobile App Development,"$10,000 to $49,999",Dec. 2017 - Ongoing,"Appinventivis designing and developing a gaming app for Androidbased on basic concepts and requirements provided, including real-time tracking and mapping functionalities.",Darien Orvin,"Founder, Airsoft Gaming App",Sports,Sole Proprietor,"Salt Lake City, Utah",
"Web, iOS & Android Development for B2B Bartering Platform",Mobile App Development,"$200,000 to $999,999",Nov. 2016 - Ongoing,Appinventiv designed and built a B2B bartering platform. The solution allows users to create profiles and trade monetary value to be redeemed at physical stores. They also created a corresponding admin site.,None,"President, Bartering App",Software,1-10 Employees,"Tallahassee, Florida",
Design & Development of In-Real-Life Meetup App,Mobile App Development,"$10,000 to $49,999",Nov. 2017 - Ongoing,"Appinventiv is creating a social iOS app. The final product will include calendar, map, and search functions that can connect to social media for users to coordinate activities.",None,"Founder, Social Connection App",Leisure,Sole Proprietor,"Atlanta, Georgia",
Platform Development For Language Learning Application,Mobile App Development,"$200,000 to $999,999",Oct. 2016 - Ongoing,"Appinventiv helped to developlanguage learning and weight loss appsfor iOS and Android, as well as a website. The apps provide training materials, messaging tools, and offline content.",Diego Gomez,"Founder, English 4 Call Centers",Education,11-50 Employees,El Salvador,
iOS App Dev For Publishing Platform,Mobile App Development,"$10,000 to $49,999",Sept. 2017 - Ongoing,"As part of the process of developing an electronic storybook platform, Appinventiv is developing an app for iOS with the purpose of getting user feedback along the way.",None,"Founder, Storybook App",Publishing,1-10 Employees,Hong Kong,
Website & App for Funded Community Non-profit,Mobile App Development,"$200,000 to $999,999",July 2017 - Ongoing,"Appinventiv built an informational website that allows users to make donations and input their information into a database. They are currently building its corresponding iOS and Android app that will allow users to post jobs, resources, and more.",None,"Executive Director, Community Empowerment Non-profit",Non-profit,1-10 Employees,"Mission, Kansas",
Web App Development for E-commerce Startup,E-commerce Development,"$10,000 to $49,999",Oct. 2016 - Ongoing,"Qburst used JavaScript, HTML, CSS, and Python to develop a Ruby on Rails e-commerce web application with questionnaire and filtering features. They currently provide backend support and ongoing development.",None,"Co-Founder, e-Commerce Site",Internet,1-10 Employees,"Palo Alto, California",
Mobile App Dev for Consumer Engagement Platform,Mobile App Development,"$50,000 to $199,999",May 2017 - Ongoing,QBurst has been contracted to build a video exchange iOS and Android mobile application.,None,"Head of Operations, Consumer Engagement Platform",Internet,11-50 Employees,California,
Multiple Dev Projects for Venture Capital Firm,Mobile App Development,"$200,000 to $999,999",Jan. 2017 - Ongoing,"Working from product visuals designed by an internal team, QBurst will then develop the wireframes and architecture of mobile applications, consumer software, and web assets for start-ups.",Ren Menon,"Managing Director, Silicon Valley Capital",Venture Capital & Private Equity,11-50 Employees,San Francisco Bay Area,
Salesforce Dev for Computer Software Firm,Custom Software Development,"$50,000 to $199,999",Aug. 2015 - Ongoing,"Qburst provided full-scope Salesforce Apex development and design for a software company, integrating third-party tools and an AI component. The desktop version is complete, with the mobile one in progress.",Alluri Raju,"Co-Founder, Sales Canary",Computer Software,1-10 Employees,"San Francisco, California ",
Ongoing Team Augmentation for Hospitality Tech Firm,Staff Augmentation,"$1,000,000 - $9,999,999",Aug. 2013 - Ongoing,"QBurst collaboratively created a cloud-based property management system by supporting prototype design, architecture, and engineering efforts. Upgraded versions with enhanced features remain the focus.",Gopkumar Sarangdharan,"CTO, StayNTouch",Computer Software,51-200 Employees,"Bethesda, Maryland",
Custom Dev for B2C Pet Services Startup,Custom Software Development,"$50,000 to $199,999",May 2016 - Ongoing,QBurstdeveloped and rapidly launched an online B2C pet servicing platform. The project team remains focused on incremental product improvements beingdrivenby user feedback.,Hector Ocasio,"President, Pet Connect",B2C Marketplace,1-10 Employees,"Washington, DC",
Ongoing SaaS Product Dev for Commercial Transport Company,Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,"QBurst fulfills several IT needs, replacing a vendor that failed to deliver. Their work includes development, server management, security, software/hardware architecture, bug fixing, and more.",None,Co-Founder,Transportation/Trucking/Railroad,1-10 Employees,"Houston, Texas",
Web Development for Sports Startup,Web Development,Confidential,Mar. 2016 - Ongoing,QBurst implemented a websites responsive frontend from mock-up to product finalization. The project team was experienced with a variety of technologies like CSS/HTML/Java.,None,"Co-Founder, Sports Startup",Sports & Recreation,11-50 Employees,"Denver, Colorado",
CRM Development for Biotechnology Firm,IT Consulting & SI,"$50,000 to $199,999",2014 - Ongoing,QBurst was hired in 2014 to develop a better Salesforce customer relationship management solution by integrating two different solutions to improve sales performance as a whole.,None,"Associate Directer of Operations, Biotechnology Firm",Biotechnology,51-200 employees,Greater San Diego Area,
Custom Web Development for Sporting Entertainment Startup,Web Development,"$10,000 to $49,999",May 2016 - Ongoing ,QBurst was hired to help develop and launch an e-commerce platform in support of an online sporting sweepstake. The project remains ongoing.,None,Co-Founder,Internet,1-10 Employees,Greater New York City Area,
Branding & Logo Design for Voice & Video Calling Mobile App,Branding,"$10,000 to $49,999",June 2017 - Ongoing,"Ramotion rebranded a communication app, working on a redesign for the platform and developing a new logo.",Nathan Zheng,"Product Manager, JusTalk",IT Services,1-10 Employees,"Zhejiang, China",
Logo Design for Content Discovery Platform,Branding,"$10,000 to $49,999",Jan. - Feb. 2017,"Assisting with rebranding efforts, Ramotion designed a new logo, first creating pencil drawings, then producing a refined final version.",Josh Fabian,"CEO, Kitsu",Internet,1-10 Employees,"Pittsburgh, Pennsylvania",
Brand Design for Sales Software Company,UI/UX Design,"$50,000 to $199,999",Oct. 2015 - Sept. 2016,Ramotion provided design and development services to establish a brand direction and product concepts. Deliverables included style guides and a Salesforce-compatible web platform with accompanying mobile app.,Omar Younis,"Former Head of Product Design, Speakeasy",Telecommunications ,11-50 Employees,"San Francisco, California ",
Rebranding for Online Payment Platform ,Design,"$10,000 to $49,999",Aug. - Oct. 2016,"Ramotion consolidated all products under one inclusive branding and overhauled all existing visual assets, including the color scheme, logos, and collateral.",Michael Dunworth,"CEO, Wyre",Financial Services ,11-50 Employees,"San Francisco, California",
Web Dev for Audio Editor Platform,Web Development,"$10,000 to $49,999",July 2017 - Ongoing,"Ramotion built a website with React JS, managing design/development and creating a dynamic CMS for the backend. Efforts remain focused on brand management.",Andrew Mason,"CEO, Descript",Media Production,1-10 Employees,"San Francisco, California",
Ecommerce Re-design for Autoparts Retailer,Web design,Confidential,Jan. - Oct. 2017,"In an effort to maximize sales conversions, Ramotion redesigned the e-commerce site of a national auto parts supplier. They worked alongside an internal team, working collaboratively to maintain brand identity.",Tony Beretin,"Digital Product Innovations & eCommerce, Advance Auto Parts",Retail,"10,000+ Employees","Raleigh, North Carolina",
iOS Mobile App Dev for Enterprise App Dev Studio,Mobile App Development,Confidential,Jan. 2017 - Jul. 2017,"Ramotion developed the UI and backend of an iOS compatible application using Swift, and also collaborated on architecture as well as API strategies.",None,"CEO, Software Development Company",Computer Software,11-50 Employees,Texas,
Web & Mobile App Design for Personal Training Platform,UI/UX Design,"$10,000 to $49,999",Oct. 2016 - Feb. 2017,Ramotion started with rebranding and then moved on to designing a website and mobile application for a personal training platform.,Joshua Ashley,"Managing Director, Vyta Lifestyle","Health, Wellness, & Fitness",1-10 Employees,"London, United Kingdom",
UI Mobile App Design for Video Experiences Platform,UI/UX Design,"$50,000 to $199,999",Jan. 2015 - Nov. 2016,"Ramotion created a responsive mobile design for an iOS consumer app, focusing primarily on frontend tasks like animation and a sleek UX/UI. Other efforts included marketing, press, and networking strategies.",Jose Llorens,"Founder & CEO, Tallscreen",Internet,1-10 Employees,"Los Angeles, California",
Website Design for Credit Card Startup,Mobile App Development,"$50,000 to $199,999",July 2015 - Ongoing,"Ramotion partners with internal teams to assist in design projects. They have led multipleprojects from wireframe to development and implementation, including site assets, video ads, and web and mobile UX.",Alex Cramer,"Head of Cards, Final Inc.",IT Services,11-50 Employees,"San Francisco, California",
AWS Web Dev for Systems Integration Company,Web Development,"$50,000 to $199,999",Mar. - Nov. 2017,Experion Technologies developed a marketplace platform that serves four service areas. The platform enables communication and ratings between end-users. They coded in Node.js and did improvements after launch.,Sathyan Nair,"CEO, AlignIT Solutions",IT Services,1-10 Employees,"Melbourne, Australia",
Web Dev for Nonprofit Management Solutions Provider,Web Development,"$200,000 to $999,999",Sept. 2017 - Ongoing,"Experion is the sole development resource for a web-based product. Wireframes were provided, and Experion conducts research to enable informed decisions. Weekly sprints are a key project component.",None,"Founder, Nonprofit Software Company",Marketing & Advertising,1-10 Employees,"Cleveland, Ohio",
Native Mobile App Dev for Messaging Platform,Mobile App Development,"$200,000 to $999,999",Sept. 2016 - Ongoing,"Acting as a development partner, Experion helped build native iOS and Android apps. Using agile methodology, they have a hand in the backend portal, user messaging features, and QA.",None,"CEO, Mobile Messaging Solutions Company",Internet,1-10 Employees,"Dallas, Texas",
ERP Dev for Software Solutions Provider,Custom Software Development,"$1,000,000 - $9,999,999",Feb. 2016 - Ongoing,Experion employed C# and HTML5 to develop a web-based ERP system with an Angular frontend on a .NET framework. The system is powered by REST APIs and utilizes a Microsoft SQL database server.,Frank Lisy,"IT Manager, Worldsmart",IT Services,51-200 Employees,"Wayville, South Australia",
Web & Mobile Platform Dev for Gaming Industry,Mobile App Development,Confidential,Apr. 2016 - Ongoing,"Experionredesigned and redeveloped existing software, developing SDKs that connect with APIs and a mobile app. Theystandardized the software for third-party usage and continue to make enhancements.",None,"CEO, Gaming Platform",Mobile Gaming,11-50 Employees,"Dallas, Texas",
Web & Mobile App Dev for Online Scheduling Software Solution,Mobile App Development,"$50,000 to $199,999",Apr. 2016 - Ongoing,"Experion took over app and website developmentwhen the previous provider couldnt deliver. They built a cross-platform hybrid app and a website, and are now conducting beta tests.",Jared Delacerda,"Support Analyst, No2fyme",Consumer Services,1-10 Employees,"Tulsa, Oklahoma",
