Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
Web Development in Drupal CMS for Consulting Firm,Web Development,Confidential,Mar. - July 2018,"Revamping an existing site, Zealous developed a Drupal website and added new features to improve navigation and reduce waiting times.",James Barnard,"Owner, Kerson Wallaw Consulting Firm Inc.",Information Technology and Services,1-10 Employees,"Montreal, Canada"
Multiple WordPress Sites for Digital Marketing Company,Web Development,"Less than $10,000",Oct. 2017 - Ongoing,Zealous System has built four WordPress websites as a third-party vendor. They collaborate on UX/UI designs and code with Ruby on Rails. The team also does plug-ins and enhancements to improve speed.,Keith Lindner,"Head of Product, Neil Patel Digital",Marketing and Advertising,11-50 Employees,"San Diego, California "
iOS & Android Dev for Barbershop App,Mobile App Development,"$10,000 to $49,999",Apr. 2017 - Ongoing,Zealous System built an iOS/Android app to connect users with area barbers and tattoo shops. They helped devise profit strategies and offered suggestions to help the product stand out in a crowded market.,Chris Kingsley,"Owner, Barber's Connect",IT Services,1-10 Employees,United States
"Multiple UI/UX, Dev & Design for Software Development Company",Web Development,"$50,000 to $199,999",2012 - Ongoing,Zealous augments internal development of multiple PHP-based software projects for third party clients. Theyre currently working on a custom and comprehensive e-commerce platform.,Deon de Klerk,"Owner, eSwipe",Software Development,1-10 Employees,"Johannesburg, South Africa"
"Web Dev, UI/UX, & Quality Assurance for Education Technology Firm",Web Development,"$200,000 to $999,999",Mar. 2014 - Ongoing,"Utilizing Adobe Flex, JavaScript, and HTML5, Zealous System assisted with the development of a university testing assessment platform. They also built a web-based testing tool from scratch.",Xenothan Hojem,"Chief Technology Officer, Synrgise (Pty) Ltd",Education,51-200 Employees,"Sandton, South Africa"
iOS & Android Development for SaaS Company,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"Zealous built iOS and Android communication apps, incorporating necessary safety features, as well as fast servers. Development included supporting the in-house team.",Louis Botha,"Director, Instant School",Communication Services,1-10 Employees,South Africa
"iOS, Android, & Web Dev for Environmental Consultancy ",Development,"$10,000 to $49,999",March 2016 - Ongoing,"Zealous developed a cloud-based system that captures data via a MySQL web portal and allows users to access, upload, and extract auto-generated reports.",James Breslin,"Director, JMB Environmental Consulting Pty Ltd",Environmental Consultancy,1-10 Employees,Australia
Real-Time Location Tracking App for Motorcycle Rider App,Mobile App Development,"$10,000 to $49,999",Nov. 2015 - Jan. 2018,"Zealous designed an iOS and Android app that uses geolocation features to create maps and track motorcycle riders locations, both of which are shareable via social media.",None,"Founder, Motorcycle Rider App Company",IT Services,1-10 Employees,Australia
App Dev For Sports Website,Mobile App Development,Confidential,2013 - Ongoing,"Rosberry developed an app foriOS and Android from scratch, enabling transmission of sports broadcasts across multiple platforms. The app has 3 million users and receives constant feedback.",None,"Co-Founder, Sports Website",Sports,1-10 Employees,"Miami Beach, Florida "
App Dev For Fitness Company,Mobile App Development,"$50,000 to $199,999",Jul. 2015 - Aug. 2016,"Rosberry assigned designers, backend specialists, and iOS developers to create a fitness mobile app that includes motivational features such as real-time heart rate monitors, social sharing, and more.",Eric Ende,"CEO, Phyzseek",Health & Fitness,1-10 Employees,"West Palm Beach, Florida"
iOS & Android Dev for Mobile Software Firm,Mobile App Development,"$50,000 to $199,999",2014 - Ongoing,"Rosberry designed and developed multiple applicationsfor iOS and Android, using Objective-C, Java, and PHP. Theteam now provides small updates for a variety of mobile apps.",None,"CEO, Mobile Software Firm",Computer Software,1-10 Employees,"New York City Metro Area, New York"
App Development for FinTech Startup,Mobile App Development,"$50,000 to $199,999",2016 - 2017,Rosberry developed a mobile app for iOS and Android that provides relevant content about institutional investments. The app also has job search and real-time messaging features.,None,"VP, Technology & Product Development ",Internet,11-50 Employees,"New York, New York"
App Dev For IT Freelancer,Mobile App Development,"$10,000 to $49,999",Oct. 2016 - May 2017,Rosberry provided the wireframes and UX design to create a new accessibility app to help people with disabilities make decisions about their needs to modify their homes.,Janelle Pollard,"Director, Designthex",Information Technology,1-10 Employees,"Sydney, Australia "
App Dev for Video & Music App,Development,"$10,000 to $49,999",Jan. 2017 - Jun. 2017,Rosberry developed the UI and UX of an iOS and Android compatible application. They have also developed a second iOS app capable of highly responsive video rendering.,Patrick Young,"Founder, Big Eyeball LLC","Arts, Entertainment & Music",1-10 Employees,"Los Angeles, California"
Development for Data-Driven Sales Platform,Development,"$50,000 to $199,999",Mar. 2017 - Ongoing,Rosberry leads ongoing development for a restaurant marketing app for both mobile and web platforms. Theyre also tasked with creating an admin panel and handling UX.,None,"Co-Founder, Sales Platform Provider",Hospitality & Leisure,1-10 Employees,"Munich, Germany"
App Dev For Social Network App,Mobile App Development,"$50,000 to $199,999",Aug. 2013 - Apr. 2017 ,"Rosberry led iOS and Android development for an entertainment app based off of provided wireframes and briefs. They laid the ground work in terms of central functionalities, backend, and architecture.",Andy Leung,"Cofounder, HaikuJAM",Entertainment,1-10 Employees,"London, UK"
Multiple App Development for Video & Photos App Company,Mobile App Development,"$200,000 to $999,999",2012 - Ongoing,The client partnered with Rosberry for multiple projects over the course of several years which included developing a suite of mobile apps.,None,"CEO, Video & Photo App Company",IT Services,1-10 Employees,New York Metro Area
Staff Augmentation for Energy Management App ,Staff Augmentation,"$200,000 to $999,999",2012 - Ongoing,"Using Ext JS and additional APIs and frameworks, Intellias supplies additional team members to work as part of an IT services company to work on the frontend of an energy management application.",None,"Product Manager, eggs unimedia GmbH",Information Technology ,11-50 Employees,"Munich, Germany"
Staff Augmentation for Interactive Storytelling Platform,Staff Augmentation,"$50,000 to $199,999",Feb. 2017 - Ongoing,"Intellias augments an internal team that builds web apps for creating and publishing interactive content. They help with most development projects, including back-office systems that improve customer service.",None,"Team Leader, Interactive Storytelling Platform",Advertising & marketing,100-200 Employees,"Tel Aviv, Israel"
Staff Augmentation for Software Development Company,Custom Software Development,"$1,000,000 - $9,999,999",2011 - Ongoing,"Intellias augment the staffing of a software development company, working on front and backend development. Initially, they brought one or two members to the team, which has then steadily grown over 6 years.",None,"VP of Technology, Brainstorm Inc",Information Technology ,100-200 Employees,"American Fork, Utah"
Staff Augmentation for Location Platform Company,Staff Augmentation,Confidential,2016 - Ongoing,"Intellias augmented a location cloudcompany's internal resources, developing location-based services and client softwarewhile making suggestions forimprovement.",None,"Manager, Location Platform Company",IT Services ,"1001-10,000 Employees","Berlin, Germany"
Application Dev for Language E-Learning Company,Development,"$200,000 to $999,999",Feb 2012 - Ongoing,"Intellias built a completely new architecture for German company, Phase6, moving an offline legacy product to a modern, cloud-based platform & creating native iOS and Android solutions for their mobile needs.",None,"CEO, Phase-6",Information Technology ,11-50 Employees,"Landsberg am Lech, Germany"
App and Backend Development for Educational Technology Startup,Mobile App Development,"$200,000 to $999,999",Jun. 2012 - Ongoing,"Intellias built an Android and iOS app, which included A.I. for backend solutions. They also provided staffing, infrastructure hosting, business analysis and end-to-end implementation.",Daniel Gorin,"Founder, Alphary AG",Education,1-10 Employees,"Vienna, Austria"
Multiple App Dev for IT Consulting Firm,Development,"$50,000 to $199,999",None,"Intellias developed several projects for the company including Java development, Oracle database, web development, portal development, and Android/iOS applications.",None,"Owner, IT Consulting Company",Information Technology and Services,1-10 Employees,"Zrich Area, Switzerland"
Ongoing Dev Engagement for B2B Payment Solutions Firm,Custom Software Development,Confidential,Mar. 2014 - Ongoing,Intellias joined an existing group of distributed offshore providers serving the same client. Assigned engineers built a payment integration solution for a flagship product and they continue improving it.,Ebbe Groes,"CEO, EveryMatrix",Computer Software,201-500 Employees,"London, United Kingdom"
App for Management Consulting Diagnostic Tool,Mobile App Development,"$10,000 to $49,999",May 2017 - Ongoing,A fully functioning proof of concept mobile app was built to collect and aggregate survey responses into management reports.,None,"Founder, sparkChief",Consulting,1-10 Employees,Switzerland
Web Development for Business Localization Service,Web design,"$200,000 to $999,999",Apr. 2017 - June 2018,Umbrella IT revamped the backend for a SaaS tool. They also developed the frontend and mobile software development kits using a microservice approach.,Greg Sung,OneSky,None,11-50 Employees,Hong Kong
HubSpot Web Development for Inbound Marketing Firm,Web Development,"$10,000 to $49,999",Mar. 2018 - Ongoing,"Using provided documentation, Umbrella Web has developed numerous website templates, each with customized designs, multiple modules, new functionalities, and subpages. Theyre currently creating more subpages.",Martin Brckmann,"Inbound Marketing Specialist, BEE-Inbound",Marketing and Advertising,11-50 Employees,"Zrich, Switzerland"
Streaming Web & Mobile App Dev for Entertainment Company,Web Development,"$10,000 to $49,999",Oct. 2017 - Feb. 2018,"After a previous partners poor performance, Umbrella took over development. They fixed bugs and security issues on a mobile app and web platform. Additional feature enhancements are in the works.",None,"Founder, Dursh PTY LTD",Entertainment,1-10 Employees,"Perth, Australia"
iOS App Development for Social Network App,Mobile App Development,"$50,000 to $199,999",Oct. 2017 - Mar. 2018,"Provided with wireframes, complex specs, and design concepts, Umbrella worked with another outside provider to build the second iteration of an iOS social networking app.",Cameron Woodford,"CEO, Social Networking App",Consumer Products,11-50 Employees,London
Custom Web and Cloud-Based Application for Career Portal,Web Development,"$50,000 to $199,999",Oct. 2016 - Ongoing,"Umbrella Web joined an in-house team to design a custom web and cloud portal for career success, working on both backend and frontend development.",None,"Product Manager, Education Management Firm",Business services,11-50 Employees,"Houston, Texas"
Mobile App & Platform Dev for Digital Wallet,Mobile App Development,"$200,000 to $999,999",Sept. 2014 - Ongoing,"Overseeing all the technical aspects of a mobile wallet, Umbrella Web programmed features, functionality, and UI into the web version and native iOS and Android apps.",Anand Misir,"Founder, Bounce Mobile Technologies",IT Services,11-50 Employees,"Toronto, Canada"
App Development for Online Deals Company ,Development,"$50,000 to $199,999",Nov. 2015 - Ongoing,"Umbrella Web works on various projects for an online deals provider on an as-needed basis. The team has worked on iOS and Android development, web browser extensions, and web platforms.",None,"Senior Vice President of Product, Online Deals Company ",Advertising & Marketing,51-200 Employees,San Francisco Bay Area 
Streaming App for Internet Radio Platform,Mobile App Development,"$10,000 to $49,999",June 2018,"jcapps developed an online radio streaming app that contains over nine radio stations. Aside from setting up each radio station, they also added sections for podcasts, articles, promotions, and more.",Dick Ervasti,"Founder & CEO, Super Radio Media Group",Media,11-50 Employees,"Minneapolis, Minnesota"
Faith-based Radio App with Offline Playback,Mobile App Development,Confidential,Oct. 2012 - Ongoing,jcapps customized their radio-app solution for a faith-based radio station to provide mobile streaming and archived shows to their listeners. Key elements were a prayer function and offline functionality.,Damien Schmitt,"Director, Relevant Radio",Media,201-500 Employees,"Green Bay, Wisconsin"
Radio Broadcast App Development,Mobile App Development,"$10,000 to $49,999",2015 - Ongoing,"jcapps developed a custom mobile app (iOS/Android) for radio broadcasts and then migrated the client to a shared platform, expediting maintenance and improving costs.",Courtney Hurtt,"Operations, WDET Radio",Media,51-200 Employees,"Detroit, Michigan"
iOS Development for Brain-Teasing Game,Mobile App Development,"$10,000 to $49,999",Apr. - May 2015,"Working on a tight schedule, APPLIFY developed a puzzle game for iOS. The game included brain teasers and engaging music.",Emmanuel Orera,"Founder, Panic",Gaming,1-10 Employees,"London, United Kingdom"
iOS & Android App for Mobile Ticketing Services Company,Mobile App Development,"$10,000 to $49,999",Oct. - Dec. 2017,APPLIFY designed and developed a user-friendlyapp where users could interact and purchaseevent tickets. TheAndroid and iOS apps were integrated with a sister app and web services.,None,"COO & Co-Founder, Mobile Ticketing Services Company",IT Services,1-10 Employees,United Kingdom
Tool Renting & Venue Sharing Apps for IT Services Company,Mobile App Development,"$50,000 to $199,999",Sept. 2017 - Jan. 2018,"APPLIFY developed two Android and iOS mobile applications for sharing resources and renting spaces. The team worked on the design, coding, and build, creating both applications from scratch.",Gavril Cornea,"Founder, TUL & BACK YARD",Internet,1-10 Employees,"London, United Kingdom"
iOS Development for Health & Fitness App,Mobile App Development,"$10,000 to $49,999",Nov. 2017 - Ongoing,"APPLIFY developed a prototype of an iOS application, building into the application livestream video, rating systems, and an integrated chat function.",None,"Founder, Fittever",Fitness,1-10 Employees,"London, United Kingdom"
"Web, App, & CRM Dev for Software and Consultancy Company",Web Development,Confidential,2016 - Ongoing,"APPLIFY worked on a complex website development project for a third party, building a customer relationship management application. The project used Node for the backend development and HTML for the frontend.",None,"Director, Vibrand Technologies",IT Services,1-10 Employees,India
Mobile App & Web Dev for Event Management Company,Mobile App Development,Confidential,Sept. 2017 - Ongoing,"APPLIFY is currently developing an iOS and Android application, as well as a website, intended to synchronize communication between vendors and clients.",None,"Business Manager, Event Management Company",Events Services,11-50 Employees,"New Delhi, India"
Web Dev for Nutrigenomics and Gene Testing Database,Web Development,"$10,000 to $49,999",May 2017 - Ongoing,"APPLIFY built a web and mobile platformand e-commerce toolto help a nutrition agencyshare information with customers.They provided requirements gathering, branding, and back-end development.",Arnavaz Kollah,"Chief Genetics Officer, Nutritional Genomix",Genetics Research,1-10 Employees,"Mumbai, India"
Mobile App & Web Dev for Real Estate Business,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,APPLIFY designed and developed an online portal that connects homeowners with maintenance providers. They also plan to build a corresponding mobile app.,None,"Director, Real Estate Company",Real Estate,51-200 Employees,England
Mobile Audio Messaging App Dev,Mobile App Development,"$10,000 to $49,999",July 2016 - Ongoing,"APPLIFY took over the development of a startup messaging app for iOS and Android, providing repairs and creating unique image, video, and location-based functionalities. Next, theyll assist with the launch.",Cemal Hasan,"Co-Founder, YapYap App Ltd",IT Services,1-10 Employees,"Essex, United Kingdom"
App & Web Dev for Co-Working Space,Mobile App Development,"$10,000 to $49,999",Oct. - Dec. 2016,"BLAKIT offered development services to build an Android and iOS native mobile app. They assisted in design efforts, offering icon ideas. They also offered web consultation services.",Anastasiya Khamiankova,"Co-Founder, Imaguru Startup HUB",Internet,11-50 Employees,"Minsk, Belarus"
Website Redesign for Greek Hiring Platform ,Web Development,"$10,000 to $49,999",June 2017 - Jan. 2018,"BLAKIT redesigned and developed public web pages in HTML/CSS, improving the sites responsiveness and speed while creating a modernized user experience.",Ioannis Pouloupatis,"Co-Founder, Douleutaras.gr",Internet,11-50 Employees,"Athens, Greece"
Web App Dev for Belarusian Banking Campaign,Development,"Less than $10,000",Apr. 2016 - Ongoing,"BLAKIT created a Bitrix-based web app for a promotional event, maintaining a dual focus on UI/UX design and financial security measures in an outsourced engagement. They now handle updates and bug fixes.",Alexandr Lapkovsky,"Executive Director & Co-Owner, DEXME Service Design Solutions",Information Technology & Services,1-10 Employees,"Minsk, Belarus"
Android Dev for Health App,Mobile App Development,"$10,000 to $49,999",Sept. 2014 - Ongoing,BLAKIT built the native Android version of an existing iOS app using React and HTML technology. They linked the app and the web portal and conduct routine updates including internal testing.,None,"CTO, Health & Wellness App ","Health, Wellness & Fitness",1-10 Employees,"San Francisco, California "
Web Portal & App Dev for Medical Device Company,Web Development,"$10,000 to $49,999",Nov. 2016 - Ongoing,"BLAKIT developed an Android app and accompanying web portal to connect to a startups medical device. They built the apps backend and frontend, the web portal, and got all design work completed.",Mikael Eriksson,"R&D Project Manager, Sooma Oy",Medical Devices,1-10 Employees,"Helsinki, Finland"
Web Dev for Law Forum Event,Web Development,Confidential,Feb. - June 2017,"BLAKIT built a WordPress website for a legal firms international event while keeping to a tight deadline. They developed both the design and functionality of the site, offering several options for both sides.",Anastasiya Kastsiushkina,"Head of PR, SP&P Attorneys at Law",Legal Services,11-50 Employees,"Minsk, Belarus"
Android & iOS Development for Sleep Tech Company,Managed IT Services,"$10,000 to $49,999",Sept. 2016 - Ongoing,BLAKIT overhauled a mobile app used to control sleep and stress-relief technology.,Simo Pahkamaa,"CEO, Neurosonic Finland","Health, Wellness and Fitness ",1-10 Employees,"Oulu, Finland"
WordPress Web Development for Clothing Retailer,Development,"Less than $10,000",Mar. 2018,BLAKIT was engaged to repair a WordPress website. The platform was producing serious errors and crashing at critical moments.,Tetyana Kretova,"Co-founder, Simplifi.com",Retail ,1-10 Employees,"Madrid, Spain"
Internal App for General Contracting Firm,Mobile App Development,"$10,000 to $49,999", May 2016 - May 2017,Groove Development created an internal app to streamline communication for all users. They worked from a written set of objectives to build Android and iOS platforms that store contact information.,Tom Lee,"Controller, JH Kelly, LLC ",Construction,"1001-10,000 Employees","Portland, Oregon"
Mobile App Dev. for Microsocial Media Company,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - May 2018,Groove Development is designing and developing an iOS and Android app for a microsocial media company. Theyre working with JavaScript and empowering the app to communicate with telephony application servers.,None,"Member, Vobo LLC",Telecommunications,11-50 Employees,"Portland, Oregon"
Mobile App Dev. for Loyalty Application Firm,Mobile App Development,"$50,000 to $199,999",2015 - 2016,"Groove Development built iOS and Android apps for a loyalty application firm. They kept track of evolving business requirements, added features, and salvaged the Android version from another developer.",None,"CEO, Loyalty Application Business",None,1-10 Employees,"Portland, Oregon"
App Prototype for Employment Nonprofit Organization,Mobile App Development,Confidential,2017 - Ongoing,"Groove Development created a mobile app for an employment and clothing non-profit from scratch. After developing a wireframe, they started the app, which will run on a sponsorship model, for Android.",Shari Dunn,"Executive Director, Dress for Success",Nonprofit Organization Management,1-10 Employees,"Portland, Oregon"
Mobile App Dev. for Staffing & Recruitment Firm,Mobile App Development,Confidential,May 2015 - Dec. 2016,Groove Development built a native mobile app to offer a personalized user experience for job seekers. Features included user profiles and keyword-based job alerts. The app enabled document uploads and storage.,Erin Lester,"Operational Quality & Training Director, VanderHouwen",Staffing and Recruiting,201-500 Employees,"Portland, Oregon"
Auction Web Dev. for Cannabis Networking Platform,Web Development,"$10,000 to $49,999",May 2017 - Ongoing,"Groove Development developed an auction-style bidding application for iOS and web browsers. The apps allow for high-resolution photo uploads, setting minimum bids, and admin settings around auction time limits.",None,"CEO, Cannabis Networking Platform",Consumer Products,1-10 Employees,"Portland, Oregon"
Mobile App Dev for Automotive Equipment Service Firm,Mobile App Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,"Groove Development designed and developed an automotive equipment inspection app for iOS. They automated the inspection process based on physical checklists, and are developing an administrative site as well.",Chad Baxter,"Paradigm, LLC",Construction,1-10 Employees,"Portland, Oregon"
UX Assistance for Software Development Firm,UI/UX Design,Confidential,June 2017 - Nov. 2017,"Groove Development consulted and implemented a new communication production system in place, across Android, iOS, and web platforms.",None,"Sr. Software Developer, Software Firm",None,1-10 Employees,"Las Vegas, Nevada"
Mobile App Dev for Legal Networking Platform,Mobile App Development,"$50,000 to $199,999",Nov. 2017 - Ongoing,"Groove Development created a mobile app with payment processing and encrypted chat functionality for iOS and Android. They also worked on project planning, web development, logo design, and other branding.",Kevin Gillespie,"CEO, Text A Lawyer, Inc.",Legal,1-10 Employees,"Portland, Oregon"
App Development For Telecommunications Company,Mobile App Development,"$50,000 to $199,999",June 2016 - Apr. 2017,Groove Development helped to create a mobile app to control internet router usage. The app allowed network owners to control usage and create guest networks on via phone.,None,"Project Coordinator, Telecommunications Company",Telecommunications,51-200 Employees,"Vancouver, Washington"
MVP Web Platform Dev for Health Tech Company,Custom Software Development,Confidential,2017 - Ongoing,"Vog App Developers built an MVP out of a basic platform to solicit feedback. They worked on the UX, contributed design ideas based on current industry trends, and proposed future expansion opportunities.",Ahmad Chehade,"Co-director, HealthsenseRX","Health, Wellness, & Fitness",1-10 Employees,"Calgary, Canada"
Mobile App Dev for Canadian Oil Firm,Mobile App Development,Confidential,Dec. 2017  Ongoing,"Vog developed mobile and web applications for an oil companys management system. The apps include an admin panel, QR code-scanning functionality, employee acknowledgment tracking, and multiple access levels. ",None,None,Marketing and Advertising,1-10 Employees,"Calgary, Canada"
Mobile App Dev for Healthcare Reminder Platform,Mobile App Development,"$50,000 to $199,999",June 2017 - May 2018,"Vog App Developers created a mobile app for iOS and Android that helps users manage their medical information (e.g., immunization, screenings), send reminders, and provideaccessible healthcare information.",None,"Partner, Medical Platform",Healthcare,1-10 Employees,"Calgary, Canada"
Web Based Program for Nutritional Awareness Platform,Web Development,"$10,000 to $49,999",Feb. 2017 - Mar. 2018,"Vog designed and developed a web-based platformfrom scratch, incorporating user forms and surveys as core features. They continue to provide iterationsas the platform is tested.",Stephen Trottier,"Owner, Nurish By Design","Health, Wellness and Fitness",1-10 Employees,"Calgary, Canada"
Mobile App Dev for RV Service & Support Firm,Mobile App Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,Vog built an app for iOS and Android within a few months. They based the design off other similar apps and integrated features such as push notifications and geo events.,Earl Manning,"VP/General Manager, RV Care Network Ltd",Automotive,1-10 Employees,"Vancouver, Canada"
Mobile App Dev. for Recruitment Job Platform,Mobile App Development,"$10,000 to $49,999",Feb. 2017 - Ongoing,"Vog App Developers developed a professional networking mobile app. It features a cutting-edge rsum-builder, a payment system for a monthly subscriptions service, and a detailed client database.",None,"Founder, Jobstream",Recruiting,1-10 Employees,"Calgary, Canada"
Mobile App Dev. for Professional Service Hiring Platform,Mobile App Development,"$50,000 to $199,999",Sep. 2017 - Mar. 2018,Vog designed and developed a mobile app for iOS and Android that allows service providers to respond to customer requests in real time. They also continue to maintain and update the app as needed.,None,"Marketing Coordinator, PAAVAA",Consumer Services,1-10 Employees,"Calgary, Canada"
Custom Software Dev for Veterinary Firm,Web Development,"$10,000 to $49,999",Oct. 2017  Mar. 2018,Vog built a minimum viable product (MVP) of a web application using PHP. The MVP furthers the process of the app development to make the software ready to launch. The relationship is ongoing.,Ivana Novosel,"Founder, IMLocum",Veterinary Services,1-10 Employees,"Calgary, Canada"
Mobile App Dev. for Portfolio Networking Platform,Mobile App Development,"$50,000 to $199,999",Nov. 2016 - Ongoing,"Vog built a job search app from scratch for iOS, Android, and the web. The MVP is in beta and available in the App Store prior to large-scale launch. On-going maintenance will be provided post-launch.",Ryan Corry,"President, Skillpics",Computer Networking,1-10 Employees,"Calgary, Canada"
App Interface for Escape Room ,Development,"Less than $10,000",Sep. 2017 - Oct. 2017,Vog developed an app interface on a Raspberry Pi that displays an animation capable of outputting a signal. This is used as an interactive prop in an escape room attraction.,Dan Le,"Owner, Escape Ops",Entertainment,1-10 Employees,"Calgary, Canada"
Custom Accounting Software Dev for Consultancy,Custom Software Development,"$50,000 to $199,999",Apr. 2017 - Mar. 2018,Debut Infotech provided end-to-end development for an accounting software. The platform featured a payment collection component as well as a ticket management system to track customer inquiries.,None,"Assistant Project Manager, International Consultancy",Management Consulting,"501-1,000 Employees","Melbourne, Australia"
Mobile Application Development for Leading Bank,Mobile App Development,"$200,000 to $999,999",Mar. 2017 - Ongoing,Debut Infotech designed and developedserver-sideiOS and Android apps that integrated with a backend CRM. The apps allow staff to track engagement and sales andmanage policies.,Yogesh Yadav,"Sales Head, HDFC Bank",Financial Services,"10,001+ Employees",India
Mobile Development for Geoblogging App,Mobile App Development,"Less than $10,000",Jan. 2016 - Ongoing,Debut Infotech completed the first version of a social app that lets users post blogs about specific locations.,Joost Janssen,"Co-Founder, One Small App",Consumer Products,1-10 Employees,Netherlands
Mobile App Dev for Social Networking Application,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"Debut Infotech designed and constructed a social networking app, developing a detailed MVP to test a startup concept. They now manage feature updates and tweaks to improve the product.",Shanon Ha,"CEO & Founder, Entwine Pty Ltd",Internet,1-10 Employees,"Perth, Western Australia "
Application Development for Dating App,Mobile App Development,"$10,000 to $49,999",Jan. - Jun. 2017,"Debut Infotech developed an iOS dating app that involved a niche market and complex algorithms. The product recently launched, and there are plans for a future Android build.",None,"VP Marketing, Ivory",Entertainment,1-10 Employees,Singapore
Custom Web Development,Web Development,Confidential,Feb. 2016 - Ongoing,Debut Infotech built awebsiteand online database for a startup that was unfamiliar with website delivery projects to launch its concept in the market.,None,"Founder, TelcoBuddy LLC",Telecommunications,2-10 employees,"Austin, Texas"
Mobile App Development Work for Marketing Platform,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Feb. 2017,Debut Infotech provided HubSpot development to help the client create a solution using the required API system.,None,"Managing Director, SEO Firm",Information Technology and Services,11- 50 employees,India
Web Development for Marketing Platform,Web Development,"Less than $10,000",None,"Using node JS technology, Debut Infotech built an integration tool to link data from Hubspot to a clients ERP. Completed in 8 weeks, the tool allowed for real-time auto-sync and metrics tracking.",None,"Consultant, Publishing Company",Marketing & Advertising,1-10 Employees,"Chicago, Illinois"
Mobile App for Dinein Restaurant,Mobile App Development,"$10,000 to $49,999",None,"After proving their experience with several other mobile ordering products, Debut Infotech provided end-to-end development of a tablet menu mobile app. The tablets seamlessly integrate with the exiting POS.",None,"Owner, Consulting Company",Consulting,1-10 Employees,None
Custom Mobile App Development ,Mobile App Development,"$10,000 to $49,999",None,Debut Infotech collaborated on an Android and iOS mobile app. The team developed and implemented the apps efficiently and in sync with the back end server.,Phil Talbot,"CEO, SAAVI Mobile Solutions",Online Media,1-10 Employees,Australia
Development for Fine Food & Beverage Company,Web Development,Confidential,2015 - Ongoing,"Evozon upgraded and improved the platform for a web-based fine foods and beverages company. The team continues to maintain the platform, and integrate tools to improve conversion rate and site performance.",None,"Product Owner, Fine Food Company",Food & Beverages,11-50 Employees,"Munich, Germany"
Rebranding & Development for Telecommunications Company,E-commerce Development,"$50,000 to $199,999",Mar. 2014 - Dec. 2014,"Evozon generated new website branding after two companies merged. CRMs, websites, customers, and visuals were all combined.",Oana Ene,"Senior Digital Expert for B2B, Deutsch Telekom AG",Telecommunications,"10,000+ Employees",Frankfurt
Frontend and Backend Dev & QA for E-Commerce Company,Custom Software Development,Confidential,Aug. 2016 - Ongoing,"Evozon built a GUI database that enabled users to store, edit, and add to the data. Their developers augment the in-house team in an ongoing partnership.",Christian Ewen,"Project Manager, Goodwheel",IT Services,51-200 Employees,"Soest, Germany"
Devlopment Partnership with Healthcare Platform,Mobile App Development,"$200,000 to $999,999",May 2016 - Ongoing,Evozon provided frontend UI/UX development for a mobile application involving complex data visualizations. Theyre currently rebuilding the backend and integrating cloud-based infrastructure.,None,"Director of Technology, Healthcare Research Firm","Health, Wellness & Fitness",1-10 Employees,"Oxford, United Kingdom"
Web Dev for Business Analytics Company,Web Development,"$200,000 to $999,999",Sept. 2016 - Ongoing,Evozon functions as an augmentation to an existing development team. They assist with multiple projects by assimilating into in-house workflow. Projects include app development and core platform support.,None,"Development Manager, Market Research Company",Information Services,"1,001-5,000 Employees","London, United Kingdom"
Outsourced Dev for Language Translation Company,Custom Software Development,Confidential,2011 - Ongoing,"Evozon supplements an internal team by developing complex, .NET-based language translation-related software.",Patrik Mazanek,"Product Owner, SDL",IT Services,"1,001-5,000 Employees",Czech Republic
Mobile App Dev for Gaming Studio,Mobile App Development,"$200,000 to $999,999",Jan. 2017 - Ongoing,"Evozon leads development of a Unity-built Android and iOS gaming app. They help with design, QA, updates, and production, among other processes.",Sonya Novosolov,"Licensing Director, TabTale",Computer Games,201-500 Employees,"Tel Aviv, Israel"
Database Dev for International Non-Profit ,Custom Software Development,"$50,000 to $199,999",July 2015 - Jan. 2016,"Evonzon collaborated with system architects at an international NGO to build a monitoring tool to manage and report data using custom indicators. The platform uses SQL, .NET, and AngularJS.",None,"Manager, Non-Profit Organization",Nonprofit Organization Management,"10,001+ Employees","London, United Kingdom"
Virtual Reality Dev for Science & Natural History Museum,AR/VR Development,Confidential,Mar. 2018 - Apr. 2018,Groove Jones created a VR experience for a new exhibition at a natural history museum. The team used a paleoanthropologists 360-degree footage to create an immersive display for the Gear VR and Oculus Go.,David Humphries,"COO, Perot Museum",Nonprofit ,200-500 Employees,"Dallas, Texas"
